word,positions
010005,10192
010006,10206
010007,10228
010008,10255
010009,10272
010010,10291
010011,10308
010012,10337
010013,10352
010014,10391
010015,10406
010016,10421
010017,10449
010018,10465
010019,10477
010020,10501
010021,10524
010022,10576
010023,10615
010024,10634
010025,10663
010026,10688
010027,10701
010028,10733
010029,10744
010030,10757
010031,10783
010032,10801
010033,10820
010034,10838
010035,10864
010036,10900
010037,10917
010038,10934
010039,10957
010040,10976
010041,11006
010042,11019
011001,11039
011002,11069
011003,11105
011004,11113
011005,11139
011006,11163
011007,11181
011008,11206
011009,11235
011010,11254
011011,11273
011012,11305
011013,11318
011014,11344
011015,11369
011016,11384
011017,11395
011018,11421
011019,11444
011020,11465
011021,11485
011022,11500
011023,11525
011024,11540
011025,11569
011026,11577
011027,11604
011028,11636
011029,11652
011030,11687
011031,11710
011032,11756
011033,11791
011034,11820
011035,11853
011036,11866
011037,11895
011038,11914
011039,11931
011040,11960
011041,11972
011042,11993
011043,12032
011044,12053
011045,12074
011046,12093
011047,12127
011048,12144
011049,12164
011050,12186
011051,12207
011052,12235
011053,12261
011054,12282
012001,12300
012002,12337
012003,12356
012004,12394
012005,12418
012006,12449
012007,12466
012008,12487
012009,12515
012010,12537
012011,12564
012012,12592
012013,12606
012014,12623
012015,12637
012016,12662
012017,12677
012018,12693
012019,12717
012020,12737
012021,12758
012022,12776
012023,12802
012024,12816
012025,12842
012026,12854
012027,12870
012028,12896
012029,12929
012030,12942
012031,12963
012032,12977
012033,12994
012034,13031
012035,13042
012036,13052
012037,13080
012038,13113
012039,13130
012040,13159
012041,13178
012042,13193
012043,13227
012044,13241
012045,13254
012046,13284
012047,13321
012048,13346
012049,13387
012050,13400
012051,13418
012052,13436
012053,13453
012054,13481
012055,13504
012056,13520
012057,13542
012058,13554
012059,13598
013001,13617
013002,13640
013003,13660
013004,13675
013005,13703
013006,13718
013007,13741
013008,13767
013009,13787
013010,13802
013011,13814
013012,13840
013013,13856
013014,13874
013015,13918
013016,13950
013017,13979
013018,14006
013019,14019
013020,14056
013021,14066
013022,14086
013023,14099
013024,14113
013025,14130
013026,14175
013027,14192
013028,14210
013029,14240
013030,14256
013031,14279
013032,14296
013033,14322
013034,14347
013035,14382
014001,14407
014002,14432
014003,14443
014004,14460
014005,14476
014006,14502
014007,14512
014008,14532
014009,14563
014010,14592
014011,14634
014012,14655
014013,14697
014014,14712
014015,14733
014016,14761
014017,14777
014018,14800
014019,14824
014020,14841
014021,14857
014022,14909
014023,14922
014024,14946
014025,14962
014026,14977
014027,15014
014028,15031
014029,15055
014030,15075
014031,15086
014032,15122
014033,15141
014034,15160
014035,15175
015001,15196
015002,15211
015003,15230
015004,15236
015005,15265
015006,15276
015007,15297
015008,15327
015009,15351
015010,15371
015011,15391
015012,15399
015013,15424
015014,15451
015015,15468
015016,15490
015017,15507
015018,15530
015019,15554
015020,15568
015021,15603
015022,15624
015023,15650
015024,15659
015025,15679
015026,15697
015027,15709
015028,15734
015029,15748
015030,15783
015031,15805
015032,15821
016001,15845
016002,15873
016003,15899
016004,15932
016005,15954
016006,15975
016007,15992
016008,16015
016009,16045
016010,16065
016011,16091
016012,16109
016013,16130
016014,16167
016015,16184
016016,16220
016017,16250
016018,16275
016019,16305
016020,16323
016021,16336
016022,16360
016023,16385
016024,16407
016025,16441
016026,16472
016027,16502
016028,16519
016029,16541
016030,16557
016031,16574
017001,16598
017002,16619
017003,16651
017004,16665
017005,16683
017006,16693
017007,16723
017008,16752
017009,16773
017010,16788
017011,16812
017012,16829
017013,16848
017014,16859
017015,16879
017016,16897
017017,16913
017018,16925
017019,16939
017020,16953
017021,16978
017022,16996
017023,17020
017024,17034
017025,17062
017026,17075
017027,17092
017028,17119
017029,17138
017030,17159
017031,17174
017032,17212
017033,17219
017034,17234
017035,17254
017036,17271
017037,17273
018001,17292
018002,17306
018003,17326
018004,17346
018005,17369
018006,17387
018007,17398
018008,17417
018009,17439
018010,17460
018011,17479
018012,17512
018013,17527
018014,17556
018015,17587
018016,17605
018017,17633
018018,17655
018019,17671
018020,17687
018021,17707
018022,17718
018023,17747
018024,17761
018025,17783
018026,17807
018027,17817
018028,17833
018029,17844
018030,17873
018031,17891
018032,17924
018033,17940
018034,17952
018035,17970
018036,17986
018037,17997
018038,18006
018039,18019
018040,18044
018041,18056
018042,18072
018043,18081
019001,18103
019002,18110
019003,18127
019004,18146
019005,18165
019006,18190
019007,18201
019008,18217
019009,18254
019010,18273
019011,18288
019012,18316
019013,18338
019014,18360
019015,18381
019016,18414
019017,18429
019018,18448
019019,18462
019020,18475
019021,18489
019022,18513
019023,18547
019024,18565
019025,18585
019026,18594
019027,18620
019028,18638
019029,18647
019030,18670
019031,18694
019032,18707
019033,18719
019034,18734
019035,18742
019036,18757
019037,18766
019038,18800
019039,18821
019040,18836
019041,18850
019042,18861
019043,18884
019044,18907
019045,18936
019046,18951
019047,18971
019048,18993
020001,19013
020002,19044
020003,19062
020004,19073
020005,19085
020006,19103
020007,19122
020008,19130
020009,19143
020010,19173
020011,19206
020012,19229
020013,19241
020014,19263
020015,19286
020016,19305
020017,19328
020018,19354
020019,19376
020020,19411
020021,19439
020022,19466
020023,19478
020024,19491
020025,19510
020026,19531
020027,19550
020028,19565
020029,19599
020030,19613
020031,19624
020032,19639
020033,19645
020034,19663
020035,19679
020036,19706
020037,19727
020038,19751
020039,19770
020040,19780
020041,19789
020042,19803
020043,19824
020044,19837
020045,19850
020046,19861
020047,19899
021001,19919
021002,19936
021003,19946
021004,19961
021005,19984
021006,20003
021007,20027
021008,20048
021009,20078
021010,20100
021011,20114
021012,20131
021013,20163
021014,20171
021015,20183
021016,20200
021017,20221
021018,20233
021019,20241
021020,20248
021021,20264
021022,20293
021023,20310
021024,20338
021025,20370
021026,20396
021027,20421
021028,20437
021029,20455
021030,20469
021031,20485
021032,20502
021033,20519
021034,20534
021035,20560
021036,20578
021037,20606
021038,20630
022001,20644
022002,20666
022003,20686
022004,20703
022005,20721
022006,20729
022007,20743
022008,20761
022009,20780
022010,20789
022011,20819
022012,20846
022013,20864
022014,20878
022015,20890
022016,20906
022017,20928
022018,20944
022019,20963
022020,20992
022021,21019
022022,21033
022023,21057
022024,21070
022025,21088
022026,21110
022027,21139
022028,21176
022029,21188
022030,21202
022031,21228
022032,21243
022033,21264
022034,21282
022035,21303
022036,21324
022037,21358
022038,21386
022039,21400
022040,21418
022041,21433
022042,21449
022043,21472
022044,21481
022045,21504
022046,21524
022047,21540
022048,21565
022049,21579
022050,21601
022051,21618
022052,21630
022053,21666
022054,21693
022055,21712
022056,21731
022057,21753
022058,21763
022059,21786
022060,21812
022061,21832
022062,21863
022063,21870
022064,21883
022065,21903
022066,21912
022067,21942
022068,21959
022069,21975
022070,21992
022071,22012
023001,22030
023002,22041
023003,22067
023004,22083
023005,22107
023006,22129
023007,22142
023008,22165
023009,22195
023010,22206
023011,22219
023012,22239
023013,22260
023014,22276
023015,22322
023016,22344
023017,22353
023018,22366
023019,22380
023020,22397
023021,22409
023022,22417
023023,22448
023024,22472
023025,22481
023026,22506
023027,22535
023028,22553
023029,22576
023030,22602
023031,22619
023032,22634
023033,22646
023034,22669
023035,22689
023036,22724
023037,22736
023038,22747
023039,22768
023040,22786
023041,22809
023042,22831
023043,22843
023044,22854
023045,22872
023046,22886
023047,22906
023048,22925
023049,22946
023050,22968
023051,22983
023052,23010
023053,23022
023054,23048
023055,23062
023056,23084
024001,23100
024002,23124
024003,23133
024004,23143
024005,23162
024006,23183
024007,23202
024008,23226
024009,23231
024010,23250
024011,23275
024012,23286
024013,23315
024014,23337
024015,23348
024016,23365
024017,23372
024018,23382
024019,23408
024020,23439
024021,23458
024022,23481
024023,23497
024024,23518
024025,23538
024026,23557
024027,23571
024028,23590
024029,23607
024030,23630
024031,23653
024032,23670
024033,23692
024034,23714
024035,23729
024036,23746
024037,23764
024038,23780
024039,23796
024040,23824
024041,23836
024042,23857
024043,23869
024044,23879
024045,23916
024046,23927
024047,23952
024048,23975
024049,23982
024050,24009
024051,24021
024052,24037
024053,24048
1,7;8
10,10103
11,11038
12,12299
13,13616
130,16133
14,14406
142,17272
148,17567
15,15195
16,15844
162,18796
17,16597
170,19434
176,19945
18,17291
19,18102
198,21882
2,1499
20,19012
204,22365
208,22871
21,19918
212,23113
213,23274
22,20643
23,22029
24,23099
3,2537
35hijo,3225
4,3314
5,499;4259;9089
56,6788
6,5108
7,6275
8,7415
87,11088
9,8748
a,4;28;172;199;212;307;342;435;485;535;706;741;781;802;806;821;880;891;1012;1017;1024;1033;1043;1059;1062;1079;1089;1126;1165;1204;1361;1417;1421;1538;1542;1557;1559;1611;1616;1675;1756;1762;1797;1800;1820;1822;1881;1936;1944;1981;2069;2084;2097;2158;2244;2268;2286;2292;2294;2326;2338;2343;2395;2502;2589;2600;2680;2685;2690;2716;2721;2803;2848;2861;2873;2885;2903;2964;2976;2997;3002;3060;3367;3399;3432;3439;3462;3468;3474;3502;3509;3564;3596;3607;3616;3660;3662;3669;3679;3684;3704;3727;3781;3851;3856;3863;3946;4004;4052;4066;4095;4121;4202;4323;4337;4340;4387;4465;4481;4507;4551;4570;4596;4669;4677;4697;4720;4796;4804;4811;4816;4827;4943;4945;4951;5199;5236;5332;5334;5378;5387;5390;5400;5410;5418;5420;5427;5471;5500;5503;5538;5545;5589;5701;5706;5712;5719;5732;5745;5759;5798;5811;5821;5842;5859;5870;5880;5947;5969;5976;6029;6177;6179;6187;6285;6301;6312;6372;6400;6422;6428;6435;6443;6465;6489;6506;6527;6601;6607;6619;6634;6667;6674;6693;6703;6731;6744;6800;6802;6809;6823;6851;7001;7083;7097;7133;7138;7146;7175;7239;7254;7271;7278;7336;7360;7374;7385;7389;7404;7456;7513;7607;7817;7826;7831;7845;7853;7881;7937;7946;7971;7987;8013;8022;8080;8217;8278;8357;8430;8644;8698;8703;8742;8752;8772;8779;8806;8906;8943;8974;8982;8992;9001;9007;9010;9043;9061;9109;9202;9238;9248;9284;9298;9321;9325;9381;9384;9456;9476;9543;9552;9593;9624;9652;9682;9706;9725;9777;9783;9792;9800;9805;9892;9961;9967;9971;9986;10024;10034;10036;10049;10074;10113;10127;10163;10187;10226;10246;10274;10289;10303;10335;10425;10429;10437;10442;10445;10470;10563;10578;10609;10617;10676;10726;10730;10751;10766;10858;10944;10967;10986;11058;11066;11108;11122;11132;11153;11171;11215;11329;11340;11349;11411;11483;11561;11664;11693;11911;11938;11977;12091;12106;12123;12179;12204;12232;12257;12273;12277;12316;12320;12322;12354;12422;12424;12432;12442;12496;12501;12584;12590;12615;12721;12779;12923;13002;13059;13085;13101;13120;13142;13156;13171;13188;13191;13206;13220;13223;13232;13270;13272;13277;13279;13282;13301;13364;13376;13389;13423;13484;13595;13665;13708;13781;13872;13891;13947;13960;14149;14153;14179;14219;14224;14234;14303;14352;14357;14366;14414;14429;14446;14509;14517;14539;14569;14586;14630;14641;14650;14673;14677;14681;14685;14741;14774;14779;14782;14790;14802;14806;14819;14836;14864;14881;14886;14896;14899;14902;14906;14929;14955;14968;14981;14989;15003;15073;15080;15130;15150;15207;15224;15259;15279;15282;15357;15404;15437;15465;15483;15485;15535;15597;15630;15677;15690;15699;15728;15753;15850;15904;15909;15938;15956;15972;15996;16136;16151;16161;16164;16264;16398;16402;16404;16419;16513;16534;16536;16548;16551;16581;16584;16601;16711;16749;16819;16832;16845;16892;16903;16931;16934;16999;17117;17157;17198;17214;17317;17323;17337;17362;17366;17402;17444;17456;17466;17516;17563;17615;17627;17703;17737;17894;17902;17911;17929;17975;18049;18091;18100;18137;18153;18160;18210;18236;18263;18280;18295;18327;18331;18340;18393;18396;18558;18568;18599;18636;18665;18745;18755;18783;18787;18789;18833;18881;18911;18942;18944;18974;19007;19022;19039;19145;19147;19160;19166;19179;19252;19310;19318;19371;19396;19524;19606;19688;19692;19785;19816;19820;19858;19867;19925;20006;20071;20147;20154;20218;20228;20252;20262;20272;20443;20592;20683;20764;20797;20812;20912;21059;21149;21222;21261;21275;21279;21381;21519;21561;21584;21591;21634;21640;21646;21699;21709;21740;21756;21840;21875;21938;21984;22043;22047;22092;22114;22155;22169;22237;22263;22269;22273;22283;22287;22291;22373;22378;22407;22502;22512;22514;22605;22607;22615;22708;22800;22834;22840;22916;22931;22940;22951;22963;23014;23115;23156;23211;23242;23246;23271;23293;23308;23325;23332;23419;23454;23466;23494;23522;23584;23626;23637;23674;23700;23704;23709;23727;23877;23912;24043;24058
aadirn,12976
aaron,115
abandon,4127;4544
abel,12212
aberrante,17937
abias,106
abilinia,2575
abismo,8180;16483
abominable,16214
abra,1963
abraham,1060;1362;2722;2734;3246;13959;14220;16377;16399;16412;16443;16543;16563;18272;19747
abri,1194;3024;3627;23918
abrieron,23660
abrigo,5751;21352
abrigos,8804
abrir,11253;11272
abrirle,13077
abruptos,2664
abunda,6152
abundancia,12656;19971
abundante,10146
abundantemente,12676
acaso,13926
accin,23429
aceite,7129;7162;7333;10847;15981
aceite60,7341
acept,20731
acerc,4118;6526;6575;8558;10985;21560;23360
acercaba,9865;17974;18769
acercaban,15206
acercado,10288;10334
acercando,23061
acercaron,23592
acercarse,7879
acercndose,22732
acompaaban,9441
acontecimientos,1222
acordaron,20726
acorralndote,18903
acost,1628
acostado,1739;1827
acostados,11200
actos,22822
actuado,16024
acudieron,4386
acuerdo,3;27;171;780;1935;1980;2068;2096;2285;4569;22988;23096
acusacin,5272;15865
acusan,22321
acusarlo,12298;22044
acusen,2847
acusndolo,22217
adelant,18148
adelante,16232;18023;18643
adelante216,23606
adems,10892;16473;23470
adentro,11185;11984
adi,3147
adlteros,17505
administracin,15891;15947
administrador,7475;15860;15868;15898;15901;15921;16020
admiraban,1854
adn,3310
adorars,3461
adoras,3446
adornado,12891
adornados,19875
adulterio,16290;16304;17693
adversario,13560;17345
adversarios,13986
advertir,12423
advirti,9195
aejo,5096;5105
afligido,13415
afligidos,5515
afn,801
afuera,197;7894;14151;14239;22510
afuera64,8700
agitada,6815
agitarn,20420
agona,21484
agradece,16774
agradecindole,16908
agradezco,10539;17493
agregando,2996
agrup,12310
agua,2893;7287;7968;7991;8027;13949;16430;20810
aguja,17796
ah,3993;13604;16230
ahogaron,8233
ahora,954;1799;2089;2740;4471;5581;5670;11193;13439;14799;15197;16463;18878;20645;21330;21977;23471
ajustar,5046
